,gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
2438,ESPORTSTMNT03/1391798,Riot,Team Flash,Talon Esports,Ornn,RekSai,Zoe,MissFortune,Sett,Aatrox,Graves,Leblanc,Aphelios,Thresh,0
2439,ESPORTSTMNT03/1391821,Riot,GAM Esports,Machi Esports,Jayce,Nidalee,Renekton,Varus,Thresh,Ornn,Graves,Zoe,Kalista,Nautilus,0
2440,ESPORTSTMNT03/1391851,Riot,GAM Esports,Team Flash,MonkeyKing,Ekko,Pantheon,Varus,Nautilus,Malphite,Graves,Leblanc,Kalista,Volibear,0
2441,ESPORTSTMNT03/1391869,Riot,Machi Esports,Team Flash,MonkeyKing,Graves,Syndra,Ezreal,Nautilus,Irelia,Nidalee,Galio,MissFortune,Yuumi,0
2442,ESPORTSTMNT03/1391900,Riot,Talon Esports,GAM Esports,MonkeyKing,Nidalee,Zoe,Aphelios,Nautilus,Mordekaiser,Graves,Jayce,Senna,Maokai,1
2443,ESPORTSTMNT03/1382144,CK,unknown team,Jin Air Green Wings,Aatrox,Jax,Syndra,Ezreal,Alistar,Mordekaiser,Graves,Zoe,Aphelios,Braum,0
2444,ESPORTSTMNT03/1392104,MSC,FunPlus Phoenix,T1,Vladimir,Kindred,Karma,Aphelios,Nautilus,Jayce,Olaf,Corki,Kalista,Gragas,0
2445,ESPORTSTMNT03/1392105,CK,unknown team,Jin Air Green Wings,Renekton,LeeSin,Syndra,Aphelios,Thresh,Mordekaiser,Trundle,Ekko,Ezreal,Karma,0
2446,ESPORTSTMNT03/1392122,CK,unknown team,Jin Air Green Wings,Aatrox,Nidalee,Pantheon,Ezreal,Nautilus,Renekton,Trundle,Rumble,Aphelios,Karma,0
2447,ESPORTSTMNT03/1382237,CK,RunAway,WhereAreyouFrom,Kennen,Trundle,Jayce,Vayne,Nautilus,Aatrox,Kindred,Leblanc,Ezreal,Karma,1
2448,ESPORTSTMNT03/1392180,OCS,UQ Union,Gravitas Academy,Vladimir,Elise,Ekko,Aphelios,Nautilus,Gangplank,Gragas,Irelia,MissFortune,Braum,0
2449,ESPORTSTMNT03/1392206,Riot,GAM Esports,Talon Esports,MonkeyKing,Karthus,Tristana,Aphelios,Braum,Malphite,Nidalee,Cassiopeia,Ezreal,Bard,0
2450,ESPORTSTMNT03/1392209,CK,RunAway,WhereAreyouFrom,Renekton,LeeSin,Syndra,Tristana,Nautilus,Aatrox,Trundle,Leblanc,Ezreal,Karma,0
2451,ESPORTSTMNT03/1392213,OCS,RMIT Redbacks,Mammoth Academy,Malphite,Sejuani,Lucian,Varus,Nautilus,Fiora,Elise,Syndra,Ezreal,Thresh,0
2452,ESPORTSTMNT03/1392215,MSC,Top Esports,DAMWON Gaming,Ornn,Olaf,Leblanc,Varus,Yuumi,Aatrox,Nidalee,Sylas,Kalista,Karma,1
2453,ESPORTSTMNT03/1392229,OCS,Chiefs Academy,UTS Esports,Mordekaiser,JarvanIV,Ornn,MissFortune,Lulu,Sylas,Sejuani,Zilean,Varus,Sett,1
2454,ESPORTSTMNT03/1392232,CK,RunAway,WhereAreyouFrom,Karma,Trundle,Syndra,Aphelios,Nautilus,Aatrox,LeeSin,Leblanc,MissFortune,Sett,1
2455,ESPORTSTMNT03/1392233,MSC,T1,DAMWON Gaming,Aatrox,Graves,TwistedFate,Yasuo,Gragas,Kennen,LeeSin,Zoe,Ezreal,Karma,0
2456,ESPORTSTMNT03/1392234,Riot,Team Flash,Machi Esports,Irelia,LeeSin,Leblanc,Aphelios,Yuumi,Jayce,Graves,Kassadin,Syndra,Nautilus,0
2457,ESPORTSTMNT03/1392240,OCS,Legacy Genesis,Pentanet.GG Rise,Maokai,Kindred,Leblanc,Varus,Bard,Poppy,Elise,Karma,Ezreal,Nautilus,0
2458,ESPORTSTMNT03/1392246,CK,WhereAreyouFrom,RunAway,Aatrox,Graves,Zoe,MissFortune,Braum,Kennen,Trundle,Lucian,Aphelios,Sett,0
2459,ESPORTSTMNT03/1392248,Riot,Team Flash,GAM Esports,Aatrox,Nidalee,Malzahar,Kalista,Taric,Irelia,Graves,Karma,Aphelios,Nautilus,0
2460,ESPORTSTMNT03/1392251,MSC,Top Esports,FunPlus Phoenix,Jayce,Olaf,Corki,Syndra,Yuumi,MonkeyKing,Kindred,Rumble,Senna,Sett,0
2461,ESPORTSTMNT03/1392254,OCS,QUT Tigers,ORDER Academy,Sylas,Poppy,Syndra,Varus,Karma,Ornn,JarvanIV,Orianna,Ezreal,Yuumi,1
2462,ESPORTSTMNT03/1392259,Riot,Machi Esports,Talon Esports,Renekton,Graves,Zoe,MissFortune,Leona,Mordekaiser,LeeSin,Leblanc,Ezreal,Karma,1
2463,ESPORTSTMNT03/1392262,MSC,DAMWON Gaming,FunPlus Phoenix,Jayce,Olaf,Syndra,Aphelios,Karma,Camille,Graves,Galio,Senna,Maokai,0
2464,ESPORTSTMNT03/1392275,MSC,T1,Top Esports,Sylas,Trundle,Azir,Yasuo,Gragas,MonkeyKing,LeeSin,Ekko,Ezreal,Braum,0
2465,ESPORTSTMNT03/1392280,Riot,Talon Esports,Team Flash,Mordekaiser,Trundle,Zoe,Aphelios,Nautilus,Ornn,Skarner,Galio,Kaisa,Sett,1
2466,ESPORTSTMNT03/1392293,Riot,Machi Esports,GAM Esports,Mordekaiser,Graves,Corki,Varus,Nautilus,Sett,Fiddlesticks,Cassiopeia,Kalista,Thresh,1
2467,ESPORTSTMNT03/1382425,MSC,JD Gaming,Gen.G,Ornn,Trundle,TwistedFate,MissFortune,Yuumi,Camille,Kindred,Azir,Aphelios,Nautilus,0
2468,ESPORTSTMNT03/1382462,MSC,Invictus Gaming,DRX,Lucian,LeeSin,Syndra,Aphelios,Yuumi,MonkeyKing,Trundle,Zoe,Ezreal,Senna,0
2469,ESPORTSTMNT03/1382476,Riot,Machi Esports,Team Flash,Aatrox,Graves,Zoe,MissFortune,Leona,Ornn,LeeSin,Syndra,Aphelios,Alistar,1
2470,ESPORTSTMNT03/1382479,MSC,DRX,Gen.G,Kennen,Graves,Rumble,Senna,TahmKench,Sylas,LeeSin,Syndra,Kalista,Sett,1
2471,ESPORTSTMNT03/1382485,MSC,JD Gaming,Invictus Gaming,Renekton,Nidalee,Leblanc,Ezreal,Sett,Aatrox,LeeSin,Azir,Aphelios,Karma,1
2472,ESPORTSTMNT03/1382486,Riot,Machi Esports,Team Flash,Renekton,LeeSin,Leblanc,Aphelios,Thresh,Aatrox,Olaf,Lissandra,Syndra,Nautilus,0
2473,ESPORTSTMNT03/1382487,Riot,Machi Esports,Team Flash,Mordekaiser,RekSai,Corki,Aphelios,Thresh,Renekton,Trundle,Syndra,Ezreal,Nautilus,0
2474,ESPORTSTMNT03/1382488,MSC,Invictus Gaming,Gen.G,Lucian,Trundle,Ekko,Ezreal,Braum,Irelia,Gragas,Yasuo,Aphelios,Taric,0
2475,ESPORTSTMNT03/1382493,Riot,Team Flash,Machi Esports,Ornn,Graves,Karma,Senna,TahmKench,Sett,Nidalee,Syndra,MissFortune,Yuumi,1
2476,ESPORTSTMNT03/1382494,MSC,DRX,JD Gaming,Sett,Trundle,Rumble,Kalista,Pyke,Aatrox,Ekko,Syndra,Aphelios,TahmKench,0
2477,ESPORTSTMNT03/1382505,MSC,Gen.G,DRX,Ornn,Nocturne,Syndra,Kalista,Gragas,Gangplank,Sejuani,Zoe,Aphelios,Thresh,1
2478,ESPORTSTMNT03/1382513,MSC,DRX,JD Gaming,Akali,Trundle,Sett,Kalista,Nautilus,Mordekaiser,LeeSin,Syndra,Ezreal,Leona,0
2479,ESPORTSTMNT03/1392533,MSC,FunPlus Phoenix,JD Gaming,Ornn,Graves,Kassadin,Varus,TahmKench,Renekton,Nidalee,Corki,Varus,Thresh,0
2480,ESPORTSTMNT03/1392549,MSC,FunPlus Phoenix,JD Gaming,Hecarim,Olaf,Karma,Varus,Leona,MonkeyKing,Graves,Corki,Sivir,Sett,1
2481,ESPORTSTMNT03/1392556,MSC,JD Gaming,FunPlus Phoenix,Gangplank,LeeSin,Syndra,Ezreal,Leona,Ornn,RekSai,Karma,Aphelios,Thresh,0
2482,ESPORTSTMNT03/1392557,MSC,JD Gaming,FunPlus Phoenix,MonkeyKing,Ekko,Leblanc,Ezreal,Leona,Hecarim,Trundle,Lissandra,Aphelios,Thresh,0
2483,ESPORTSTMNT03/1392567,Riot,Talon Esports,Team Flash,Renekton,Nidalee,Pantheon,Aphelios,Braum,Aatrox,JarvanIV,Galio,Ezreal,Nautilus,1
2484,ESPORTSTMNT03/1392568,MSC,Gen.G,Top Esports,Sett,Elise,Pantheon,Kaisa,Nautilus,MonkeyKing,Trundle,Ekko,Varus,Thresh,0
2485,ESPORTSTMNT03/1392576,MSC,Gen.G,Top Esports,Kennen,Graves,Azir,Ezreal,Taric,Jayce,RekSai,Zoe,Aphelios,Thresh,0
2486,ESPORTSTMNT03/1392578,Riot,Team Flash,Talon Esports,Ryze,Shyvana,Renekton,Kalista,Nautilus,Gangplank,Trundle,Leblanc,Aphelios,Thresh,1
2487,ESPORTSTMNT03/1392579,MSC,Top Esports,Gen.G,Gangplank,Trundle,Syndra,MissFortune,Yuumi,Lucian,Kindred,Azir,Senna,Mordekaiser,1
2488,ESPORTSTMNT03/1392584,Riot,Talon Esports,Team Flash,Kennen,RekSai,Pantheon,Aphelios,Braum,Renekton,LeeSin,Nautilus,MissFortune,Yuumi,1
2489,ESPORTSTMNT03/1392606,Riot,Team Flash,Talon Esports,Ornn,LeeSin,Corki,Aphelios,Braum,Renekton,Elise,Azir,Ezreal,Yuumi,0
2490,ESPORTSTMNT03/1392712,MSC,FunPlus Phoenix,Top Esports,MonkeyKing,Graves,Galio,Varus,Thresh,Ornn,LeeSin,Syndra,Varus,Thresh,0
2491,ESPORTSTMNT03/1392714,MSC,FunPlus Phoenix,Top Esports,Kayle,Olaf,Galio,Aphelios,Nautilus,Ornn,Graves,Corki,MissFortune,Thresh,1
2492,ESPORTSTMNT03/1392715,MSC,Top Esports,FunPlus Phoenix,Renekton,LeeSin,Orianna,Ezreal,Yuumi,Mordekaiser,Olaf,Ryze,Aphelios,Thresh,1
2493,ESPORTSTMNT03/1392719,MSC,FunPlus Phoenix,Top Esports,Jayce,Nidalee,Renekton,Aphelios,Blitzcrank,Lucian,Trundle,Zoe,Kalista,Thresh,0
2494,ESPORTSTMNT01/1410891,OCS,Gravitas Academy,Mammoth Academy,Ornn,Graves,Syndra,Aphelios,Bard,Fiora,Trundle,Karma,Ezreal,Braum,0
2495,ESPORTSTMNT01/1400939,OCS,RMIT Redbacks,Pentanet.GG Rise,Maokai,Graves,Kaisa,Ezreal,Thresh,Shen,Ekko,Cassiopeia,MissFortune,Yuumi,1
2496,ESPORTSTMNT01/1400946,OCS,Chiefs Academy,ORDER Academy,Ornn,LeeSin,Nautilus,Aphelios,Lulu,MonkeyKing,Evelynn,Orianna,MissFortune,Sett,0
2497,ESPORTSTMNT01/1410928,OCS,Legacy Genesis,QUT Tigers,Poppy,Gragas,Yasuo,Aphelios,Thresh,Maokai,Kindred,Camille,Kaisa,Karma,0
2498,ESPORTSTMNT01/1401186,OPL,Pentanet.GG,Chiefs Esports Club,Ornn,Fiddlesticks,Nocturne,Kalista,Thresh,Camille,Olaf,Corki,Senna,Maokai,1
2499,ESPORTSTMNT01/1401197,OPL,Avant Gaming,MAMMOTH,Mordekaiser,Trundle,Ekko,Caitlyn,Senna,Ornn,Graves,Kaisa,Ezreal,Nautilus,1
2500,ESPORTSTMNT01/1401212,OPL,ORDER,Gravitas,Ornn,Olaf,Azir,Kalista,Thresh,Poppy,Ekko,Zed,Kaisa,Braum,1
2501,ESPORTSTMNT01/1401225,OPL,Dire Wolves,Legacy Esports,Sett,Ekko,Corki,Aphelios,Yuumi,Ornn,Kindred,Viktor,Ezreal,Soraka,0
2502,6200-7807,LPL,EDward Gaming,Team WE,Aatrox,Nidalee,Syndra,Kalista,Sett,Renekton,Elise,AurelionSol,Aphelios,Nautilus,1
2503,6200-7808,LPL,EDward Gaming,Team WE,Aatrox,Nidalee,Rumble,Kalista,Sett,Renekton,LeeSin,AurelionSol,Aphelios,Leona,0
2504,6200-7809,LPL,EDward Gaming,Team WE,Aatrox,LeeSin,Syndra,Kalista,Thresh,Renekton,Trundle,Galio,Ashe,Sett,0
2505,6201-7810,LPL,LNG Esports,Suning,Jayce,Trundle,Zoe,Aphelios,Nautilus,Aatrox,JarvanIV,Syndra,Ezreal,Sett,0
2506,6201-7811,LPL,LNG Esports,Suning,Renekton,Nidalee,Syndra,Senna,Maokai,MonkeyKing,LeeSin,Leblanc,Aphelios,Thresh,0
2507,ESPORTSTMNT01/1401435,OPL,Chiefs Esports Club,Gravitas,Sylas,LeeSin,Syndra,Ezreal,Karma,Ornn,Nidalee,Leblanc,Kaisa,Thresh,1
2508,ESPORTSTMNT01/1401441,OPL,Dire Wolves,Avant Gaming,Sylas,Trundle,Cassiopeia,Ezreal,Yuumi,Ornn,LeeSin,Taliyah,Caitlyn,Karma,0
2509,ESPORTSTMNT01/1401451,OPL,Pentanet.GG,MAMMOTH,Janna,Trundle,Azir,Aphelios,Thresh,Sett,Ekko,Ahri,Ezreal,Karma,1
2510,ESPORTSTMNT01/1401460,OPL,Legacy Esports,ORDER,Gangplank,Nidalee,Karma,Kalista,Taric,Rumble,Graves,Orianna,Ezreal,Nautilus,1
2511,6202-7812,LPL,Victory Five,Dominus Esports,Aatrox,LeeSin,Zoe,Kalista,Thresh,Camille,Graves,Cassiopeia,Aphelios,Nautilus,1
2512,6202-7813,LPL,Dominus Esports,Victory Five,Renekton,Elise,Syndra,MissFortune,Thresh,MonkeyKing,Trundle,Zoe,Kalista,Bard,0
2513,ESPORTSTMNT04/1220183,TCL,İstanbul Wildcats,1907 Fenerbahçe Esports,Renekton,MonkeyKing,Syndra,Ezreal,Yuumi,Gangplank,Elise,Akali,Aphelios,Nautilus,1
2514,6203-7814,LPL,Oh My God,Royal Never Give Up,Renekton,Trundle,Zoe,Aphelios,Braum,MonkeyKing,JarvanIV,TwistedFate,MissFortune,Nautilus,0
2515,ESPORTSTMNT04/1220191,TCL,Team AURORA,Dark Passage,Sett,JarvanIV,Veigar,Ezreal,Yuumi,Ornn,Graves,Azir,Aphelios,Karma,0
2516,6203-7815,LPL,Royal Never Give Up,Oh My God,Ornn,LeeSin,Syndra,MissFortune,Nautilus,Renekton,Trundle,Diana,Aphelios,Thresh,1
2517,ESPORTSTMNT04/1220206,TCL,Beşiktaş Esports,Galakticos,Chogath,Trundle,Corki,Yasuo,Rakan,MonkeyKing,Kindred,Cassiopeia,Ezreal,Yuumi,1
2518,ESPORTSTMNT04/1220209,TCL,Galatasaray Esports,5 Ronin,Ornn,Trundle,Leblanc,Aphelios,Nautilus,Mordekaiser,Kindred,Karma,Ezreal,Braum,1
2519,ESPORTSTMNT04/1220214,TCL,Papara SuperMassive,Royal Youth,Sett,LeeSin,Azir,Aphelios,Nautilus,Aatrox,Trundle,Cassiopeia,Ezreal,Karma,1
2520,ESPORTSTMNT01/1401566,CBLOL,paiN Gaming,Flamengo Esports,Rumble,LeeSin,Karma,Draven,Leona,Irelia,Trundle,Zoe,Kalista,Thresh,1
2521,ESPORTSTMNT01/1401595,CBLOL,FURIA Esports,INTZ,Pantheon,Kindred,Syndra,MissFortune,Thresh,Sett,Trundle,Orianna,Aphelios,Nautilus,0
2522,ESPORTSTMNT01/1401600,CBLOL,Santos e-Sports,Vivo Keyd,Aatrox,JarvanIV,Viktor,Ezreal,Senna,Camille,Graves,Leblanc,KogMaw,Lulu,1
2523,ESPORTSTMNT01/1401620,CBLOL,Prodigy Esports,KaBuM! e-Sports,Sylas,RekSai,Corki,Senna,Sett,Ornn,LeeSin,Orianna,Aphelios,Yuumi,0
2524,6204-7816,LPL,Team WE,Suning,Ornn,Ekko,Pantheon,Aphelios,Leona,Renekton,JarvanIV,Syndra,MissFortune,Thresh,1
2525,6204-7817,LPL,Suning,Team WE,Renekton,Trundle,Kassadin,Aphelios,Bard,Aatrox,JarvanIV,AurelionSol,Ezreal,Thresh,1
2526,6204-7818,LPL,Team WE,Suning,Renekton,Ekko,Sett,MissFortune,Galio,Aatrox,Graves,Zoe,Ashe,Bard,0
2527,ESPORTSTMNT04/1230190,TCL,1907 Fenerbahçe Esports,Team AURORA,MonkeyKing,Gragas,Orianna,Kalista,Nautilus,Mordekaiser,RekSai,Karma,Ezreal,Yuumi,1
2528,ESPORTSTMNT04/1230192,TCL,İstanbul Wildcats,Papara SuperMassive,Vladimir,Graves,Azir,Vayne,Lulu,Ornn,Trundle,Zoe,Aphelios,Blitzcrank,1
2529,6205-7819,LPL,Vici Gaming,Bilibili Gaming,MonkeyKing,JarvanIV,Syndra,Kalista,Nautilus,Maokai,Olaf,Zoe,Ezreal,TahmKench,1
2530,6205-7820,LPL,Vici Gaming,Bilibili Gaming,Jayce,Trundle,Kassadin,Senna,TahmKench,Camille,Graves,TwistedFate,Kalista,Bard,1
2531,ESPORTSTMNT04/1230195,TCL,Royal Youth,5 Ronin,Renekton,Sylas,Azir,Aphelios,Nautilus,Mordekaiser,Trundle,Corki,Ezreal,Yuumi,1
2532,ESPORTSTMNT04/1230203,TCL,Galakticos,Galatasaray Esports,Renekton,LeeSin,Pantheon,Syndra,Nautilus,Kennen,Graves,Ekko,Ezreal,Rakan,1
2533,ESPORTSTMNT04/1230207,TCL,Beşiktaş Esports,Dark Passage,Gnar,Sett,Corki,Aphelios,Braum,Renekton,Olaf,Azir,Kalista,Taric,1
2534,ESPORTSTMNT01/1401754,CBLOL,Flamengo Esports,INTZ,Camille,Kindred,Kassadin,Aphelios,Braum,MonkeyKing,Trundle,TwistedFate,MissFortune,Bard,0
2535,ESPORTSTMNT01/1401768,CBLOL,FURIA Esports,Prodigy Esports,Renekton,Ekko,Syndra,MissFortune,Sett,Lucian,Trundle,Rumble,Aphelios,Thresh,0
2536,ESPORTSTMNT01/1401778,CBLOL,Vivo Keyd,KaBuM! e-Sports,Jayce,Olaf,Syndra,Ezreal,Yuumi,Aatrox,Nidalee,Azir,Senna,Maokai,0
2537,ESPORTSTMNT01/1401802,CBLOL,Santos e-Sports,paiN Gaming,Aatrox,MonkeyKing,Azir,Velkoz,Nautilus,Malphite,Trundle,Syndra,Ezreal,Leona,1
2538,6206-7821,LPL,Oh My God,Victory Five,Jayce,JarvanIV,Zoe,Ezreal,Yuumi,Renekton,Graves,TwistedFate,Aphelios,Thresh,0
2539,6206-7822,LPL,Victory Five,Oh My God,Renekton,LeeSin,Syndra,Kalista,Taric,Gangplank,Olaf,Ekko,Aphelios,Thresh,0
2540,6206-7823,LPL,Oh My God,Victory Five,MonkeyKing,Trundle,Galio,Aphelios,Sett,Renekton,Kindred,Syndra,MissFortune,Bard,0
2541,6207-7824,LPL,LGD Gaming,eStar,Hecarim,Trundle,TwistedFate,Aphelios,Karma,MonkeyKing,LeeSin,Zoe,Ezreal,Blitzcrank,0
2542,6207-7825,LPL,LGD Gaming,eStar,Ornn,Kindred,Syndra,Ashe,Thresh,MonkeyKing,Trundle,Ekko,Aphelios,Blitzcrank,1
2543,6207-7826,LPL,LGD Gaming,eStar,Hecarim,Olaf,TwistedFate,Ezreal,Yuumi,MonkeyKing,Graves,Galio,Kalista,Thresh,1
2544,ESPORTSTMNT04/1230268,TRA,İstanbul Wildcats Academy,1907 Fenerbahçe Academy,Renekton,Trundle,Syndra,Ezreal,Janna,Shyvana,Gragas,Yasuo,Aphelios,Rakan,0
2545,ESPORTSTMNT04/1230279,TRA,Team AURORA Academy,Dark Passage Academy,Aatrox,Elise,Aphelios,Syndra,Nautilus,Renekton,Trundle,Zoe,Ziggs,Thresh,1
2546,ESPORTSTMNT04/1230301,TRA,Beşiktaş Academy,Galakticos Academy,Renekton,Trundle,Orianna,Varus,Nautilus,Mordekaiser,Gragas,Cassiopeia,Kalista,Sett,0
2547,ESPORTSTMNT04/1230325,TRA,5 Ronin Academy,Galatasaray Academy,Renekton,LeeSin,Cassiopeia,Ezreal,Sett,Ornn,Graves,Karma,Aphelios,Lulu,1
2548,ESPORTSTMNT04/1230341,TRA,SuperMassive Academy,Royal Youth Academy,Maokai,Olaf,Syndra,Ezreal,Yuumi,Irelia,RekSai,Azir,Aphelios,Nautilus,0
2549,ESPORTSTMNT01/1402239,BRCC,Team oNe eSports,RED Canids,Renekton,Trundle,Viktor,Aphelios,Lulu,MonkeyKing,Kindred,Azir,Nautilus,Soraka,1
2550,ESPORTSTMNT01/1402250,BRCC,Falkol,Redemption eSports Porto Alegre,Malphite,JarvanIV,Leblanc,Ezreal,Thresh,MonkeyKing,Trundle,Lissandra,Aphelios,TahmKench,0
2551,ESPORTSTMNT01/1402257,BRCC,Havan Liberty Gaming,Rensga eSports,Jayce,Graves,Corki,Varus,TahmKench,Aatrox,Nidalee,Azir,Ashe,Nautilus,1
2552,6208-7827,LPL,FunPlus Phoenix,LNG Esports,Renekton,Nidalee,Jayce,Ezreal,Leona,Mordekaiser,LeeSin,Zoe,Ashe,Karma,1
2553,6208-7828,LPL,LNG Esports,FunPlus Phoenix,MonkeyKing,JarvanIV,Galio,Aphelios,Nautilus,Ornn,Trundle,Sylas,MissFortune,Leona,1
2554,6208-7829,LPL,FunPlus Phoenix,LNG Esports,MonkeyKing,Graves,Galio,Ezreal,Nautilus,Sylas,JarvanIV,Zoe,Aphelios,Leona,0
2555,6209-7830,LPL,Rogue Warriors,Top Esports,Ornn,Trundle,Azir,Aphelios,Bard,Aatrox,LeeSin,Kassadin,MissFortune,Thresh,0
2556,6209-7831,LPL,Top Esports,Rogue Warriors,Mordekaiser,JarvanIV,Diana,Ezreal,Leona,MonkeyKing,Trundle,Leblanc,Lucian,Yuumi,1
2557,ESPORTSTMNT04/1230415,TRA,Dark Passage Academy,Beşiktaş Academy,Aatrox,Graves,Syndra,Kalista,Nautilus,Ornn,Trundle,Velkoz,Ezreal,Yuumi,1
2558,ESPORTSTMNT04/1230420,TRA,1907 Fenerbahçe Academy,Team AURORA Academy,Fiddlesticks,Trundle,Cassiopeia,Aphelios,Nautilus,MonkeyKing,Kindred,Kalista,Ziggs,Braum,1
2559,ESPORTSTMNT04/1230431,TRA,İstanbul Wildcats Academy,SuperMassive Academy,Gragas,LeeSin,Azir,Aphelios,Nautilus,Sett,Graves,Leblanc,Xayah,Rakan,1
2560,ESPORTSTMNT04/1230436,TRA,Royal Youth Academy,5 Ronin Academy,Aatrox,RekSai,Zoe,Ezreal,Sett,Ornn,LeeSin,Cassiopeia,Aphelios,Rakan,0
2561,ESPORTSTMNT04/1230448,TRA,Galakticos Academy,Galatasaray Academy,Sett,Gragas,Orianna,Aphelios,Thresh,Mordekaiser,LeeSin,Ornn,Senna,Nautilus,1
2562,ESPORTSTMNT01/1412668,BRCC,Redemption eSports Porto Alegre,Team oNe eSports,Ornn,Olaf,Orianna,Ezreal,Yuumi,Sylas,LeeSin,Viktor,Kaisa,Lulu,0
2563,ESPORTSTMNT01/1412679,BRCC,Rensga eSports,RED Canids,Jax,Trundle,Orianna,Aphelios,Nautilus,MonkeyKing,Kindred,Sylas,KogMaw,Braum,0
2564,ESPORTSTMNT01/1412682,BRCC,Havan Liberty Gaming,Falkol,MonkeyKing,LeeSin,Orianna,Kalista,Blitzcrank,Renekton,Trundle,Corki,Ezreal,Thresh,1
2565,6262-7832,LDL,optical spectrum E-sports,Top Esports Challenger,Kled,LeeSin,Lissandra,Ezreal,Alistar,Mordekaiser,Trundle,Ekko,Sivir,Yuumi,0
2566,6262-7833,LDL,Top Esports Challenger,optical spectrum E-sports,Mordekaiser,RekSai,Ekko,Ezreal,Nautilus,Ornn,Trundle,Sylas,Aphelios,Yuumi,1
2567,6264-7835,LDL,Suning-S,LinGan e-Sports,Aatrox,Trundle,Zoe,Ezreal,Karma,MonkeyKing,JarvanIV,Azir,Aphelios,Thresh,1
2568,6263-7834,LDL,Royal Club,JingNetGame,Renekton,Trundle,Zoe,Ezreal,TahmKench,Jax,Elise,Pantheon,Aphelios,Galio,1
2569,6264-7836,LDL,LinGan e-Sports,Suning-S,Ornn,LeeSin,Syndra,Ezreal,Yuumi,Aatrox,RekSai,Ekko,Aphelios,Thresh,0
2570,6263-7837,LDL,Royal Club,JingNetGame,Renekton,Trundle,Akali,Ezreal,Bard,Jax,Ekko,Sett,MissFortune,Thresh,1
2571,6266-7839,LDL,Legend Esport Gaming,All Combo,MonkeyKing,Nidalee,Renekton,Varus,Karma,Mordekaiser,LeeSin,Neeko,Sivir,Thresh,1
2572,6210-7838,LPL,Vici Gaming,Royal Never Give Up,MonkeyKing,JarvanIV,Akali,Ezreal,Nautilus,Renekton,Nidalee,Syndra,Aphelios,Thresh,0
2573,6265-7840,LDL,Young Miracles,LNG Academy,Ornn,Trundle,Leblanc,Aphelios,Leona,Renekton,Nidalee,Malzahar,Kalista,Thresh,1
2574,6210-7841,LPL,Royal Never Give Up,Vici Gaming,MonkeyKing,Graves,Akali,Ezreal,Leona,Mordekaiser,Olaf,Corki,MissFortune,Nautilus,1
2575,6266-7843,LDL,All Combo,Legend Esport Gaming,MonkeyKing,Taliyah,Pantheon,Xayah,Nautilus,Mordekaiser,Nidalee,Renekton,Kalista,Thresh,1
2576,6265-7842,LDL,LNG Academy,Young Miracles,Ornn,Graves,Syndra,Ezreal,Nautilus,Renekton,Nunu,Qiyana,Kalista,Leona,0
2577,6266-7845,LDL,Legend Esport Gaming,All Combo,MonkeyKing,Ekko,Sett,Caitlyn,Morgana,Hecarim,Nidalee,Pantheon,Varus,Karma,1
2578,6211-7844,LPL,Suning,JD Gaming,MonkeyKing,Graves,TwistedFate,Aphelios,Bard,Renekton,JarvanIV,Zoe,Ezreal,Yuumi,0
2579,6211-7846,LPL,JD Gaming,Suning,Ornn,LeeSin,Lissandra,Ezreal,Sett,Renekton,Graves,Leblanc,Aphelios,Bard,1
2580,6267-7847,LDL,LGD Gaming Young Team,Shu Dai Xiong Gaming,Ornn,Graves,Karma,Ezreal,Nautilus,Aatrox,LeeSin,TwistedFate,Aphelios,Leona,1
2581,6267-7848,LDL,LGD Gaming Young Team,Shu Dai Xiong Gaming,Mordekaiser,Graves,Nocturne,MissFortune,Leona,Jayce,Trundle,Lissandra,Ezreal,Nautilus,1
2582,ESPORTSTMNT01/1413164,OCS,UQ Union,ORDER Academy,Malphite,Sejuani,Viktor,Yasuo,Sett,Aatrox,Ekko,Lissandra,Ezreal,Thresh,1
2583,6269-7849,LDL,Team WE Academy,Vici Gaming Potential,MonkeyKing,Olaf,Zoe,MissFortune,Yuumi,Ornn,Trundle,Leblanc,Aphelios,Nautilus,0
2584,ESPORTSTMNT01/1413175,OCS,Pentanet.GG Rise,QUT Tigers,Ornn,JarvanIV,Syndra,Aphelios,Yuumi,Cassiopeia,Trundle,Irelia,Kaisa,Karma,1
2585,6268-7850,LDL,Rogue Warriors Shark,Bilibili Gaming Junior,Ornn,Graves,Lucian,Syndra,Thresh,Mordekaiser,Trundle,TwistedFate,MissFortune,Nautilus,1
2586,6269-7851,LDL,Vici Gaming Potential,Team WE Academy,Aatrox,Kindred,Karma,Aphelios,Blitzcrank,Camille,Trundle,Leblanc,Ashe,Bard,0
2587,ESPORTSTMNT01/1413197,OCS,UTS Esports,Legacy Genesis,MonkeyKing,RekSai,Karma,Ashe,Nautilus,Mordekaiser,Fiddlesticks,Nocturne,Ezreal,Bard,0
2588,6268-7852,LDL,Rogue Warriors Shark,Bilibili Gaming Junior,Mordekaiser,Graves,Jayce,Syndra,Thresh,Ornn,Trundle,TwistedFate,MissFortune,Nautilus,1
